"NAME","TYPE","WHEN",latitude,longitude,"ADDRESS",zip,"call","FORWHOM"
"WSEM Food Center at Brookside Hunger Center","Pantry","Mondays - Fridays: 10:00 - 2:00",41.45121,-81.70175,"3802 Pearl Road",44109,"216-749-4295","44102, 44109, 44129, 44130, 44144 & Within this area: South to Tiedeman Road, North to Storer Avenue, West 72nd Street & East 2nd Street"
"Bethany Christian Church","Hot Meal","Last Wednesday: 5:30 - 6:30",41.45808,-81.60657,"3940 Martin Luther King Jr Boulevard",44105,"216-341-1132","Open to Anyone"
"Bridge of Hope Center","Pantry","1st / 3rd Fridays: 5:00 - 8:00 & 1st / 3rd Saturdays: 9:00 - 12:00",41.45172,-81.56477,"3949 Lee Road",44128,"216-276-0571","Within this area: East 151st Street, East 189th Street, Harvard Avenue & Stockbridge Avenue"
"May Dugan Multi Service Center","Pantry","4th Wednesday: 9:00 - 1:00 (Open the 3rd Wednesday in November & December)",41.48099,-81.71463,"4115 Bridge Avenue",44113,"216-631-5800","Near Westside of Cleveland"
"St. Paul AME Church","Pantry","Fridays: 9:30 - 12:00",41.44149,-81.78514,"4118 Brookside Boulevard",44135,"216-941-6767",
"Confirmed Word Faith Center","Pantry","1st & 3rd Saturdays: 10:00 - 12:00",41.44683,-81.59121,"4130 East 131st Street",44105,"216-704-8602","Open to Anyone"
"Salvation Army - Miles Park","Hot Meal","Last 5 Business Days of the Month: 12:00 - 1:00",41.44599,-81.62095,"4139 East 93rd Street",44105,"216-341-1640","44105, 44120, 44122, 44125, 44127, 44128, 44137 and 44139"
"Salvation Army - Miles Park","Pantry","Mondays - Thursdays: 9:00 - 11:30",41.44599,-81.62095,"4139 East 93rd Street",44105,"216-861-8185","44105, 44120, 44122,44125, 44127, 44128, 44137 and Bedford"
"Southeast Clergy Council Center","Pantry","Tuesdays, Thursdays & Last Saturday: 9:30 - 11:45",41.40901,-81.52731,"415 Northfield Road",44146,"440-232-5115","Bedford, Bedford Heights, Garfield Heights, Solon, Walton Hills and Warrensville Heights"
"Pearl Road United Methodist Church","Hot Meal","1st 2 Thursdays: 6:00 - 7:00 & Last 2 Sundays: 5:00 - 6:00",41.44087,-81.70548,"4200 Pearl Road",44109,"216-661-5642","Open to Anyone"
"Mt. Zion Fellowship Church","Pantry","Wednesdays: 7:30 - 8:30 PM & Saturdays: 12:00 1:30",41.44513,-81.53109,"4265 Northfield Road",44128,"216-292-3131","44122, 44128, 44137 (only Libby Road, Northfield Road and Warrensville Center Road) and 44146"
"Holy Spirit Catholic Church","Hot Meal","Wednesdays: 4:30 - 6:00",41.44134,-81.58936,"4341 East 131st Street",44105,"216-581-0981","Open to Anyone"
"St. Mary of Egypt Orthodox Mission","Pantry","3rd Saturday: 1:00 - 2:00",41.43594,-81.7069,"4345 State Road",44109,"440-473-3885",
"Bountiful Basement (at Blessed TrinityCatholic Church)","Pantry","Tuesdays: 9:30 - 12:00",41.43646,-81.79132,"4370 West 140th Street",44135,"216-671-3870","44111, 44135 & East of West 117th Street"
"Salvation Army - Ohio City","Pantry","Mondays - Thursdays: 9:00 - 11:30",41.46975,-81.71659,"4400 Clark Avenue",44109,"216-631-1515","44102, 44109, 44113 Dand 44144"
"Salvation Army - Ohio City","Hot Meal","Wednesdays: 12:00 - 1:00",41.46975,-81.71659,"4402 Clark Avenue",44109,"216-631-1515","Open to Anyone"
"St. Herman's FOCUS Cleveland","Hot Meal","Daily: Breakfast: 6:00 - 6:30; Lunch: 11:30 - 12:30 D& Dinner: 5:30 - 6:30",41.48566,-81.71708,"4410 Franklin Boulevard",44113,"216-631-9860","Open to Anyone"
"A.C.E. Ministry / Affinity Baptist Church","Pantry","2nd & 4th Saturdays: 11:00 - 2:30",41.43782,-81.55664,"4411 East 175th Street",44128,"216-283-4365","Open to Anyone"
"St. Paul's Community Outreach","Pantry","Tuesdays - Fridays: 10:00 - 11:00",41.48533,-81.71664,"4427 Franklin Boulevard",44113,"216-651-6250","44102 and 44113"
"St. Patrick's Catholic Church","Pantry","Mondays - Fridays: By Delivery Appointment",41.43513,-81.82125,"4427 Rocky River Drive",44135,"216-251-1200",
"North Presbyterian Church","Hot Meal","Last 2 Thursdays: 5:00 - 6:30; Sundays: 12:30 - 2:00",41.51535,-81.6587,"4515 Superior Avenue",44103,"216-431-3726","Open to Anyone"
"University Settlement","Hot Meal","Tuesdays: 6:00 - 7:00",41.47385,-81.65852,"4800 Broadway Avenue",44127,"216-641-8948","44105,  44125 and 44127"
"University Settlement","Pantry","Tuesdays - Fridays: 11:30 - 2:00 & Tuesdays: 6:00 - 7:00",41.47385,-81.65852,"4800 Broadway Avenue",44128,"216-641-8948","44105,  44125 and 44127"
"St. Leo the Great","Pantry","3rd Tuesday: 8:30 - 11:00",41.42041,-81.6956,"4940 Broadview Road",44113,"216-661-1008","Church Parish Territory"
"Warrensville Road Community Baptist Church","Hot Meal","Wednesdays: 5:00 - 6:00",41.42306,-81.5373,"5045 Warrensville CenterRoad",44137,"216-663-5683","Open to Anyone"
"Parma Hunger Center","Pantry","Tuesdays: 2:00 - 4:00 & Fridays: 10:00 - 12:00",41.41672,-81.69477,"5280 Broadview Road",44134,"216-351-6376","Brooklyn Heights, Parma, Parma Heights and Seven Hills"
"Refuge Ministries Development","Pantry","2nd Wednesday: 11:00 - 1:00",41.45579,-81.653,"5322 Fleet Avenue",44105,"216-812-8560",
"Garfield Heights Senior Center","Pantry","3rd Wednesday: 1:00 - 2:00 & 3rd Thursday: 6:00 - 7:00",41.41532,-81.60471,"5407 Turney Road",44125,"216-475-3244","Garfield Heights"
"Shiloh Baptist Church","Hot Meal","Last Saturday: 12:00 - 1:30",41.49142,-81.65118,"5500 Scovil Avenue",44104,"216-881-7337",
"St. Mary's House of Hospitality","Hot Meal","Tuesdays: 4:00 - 5:30",41.4115,-81.72315,"5500 West 54th Street",44129,"No Site Number Available","Open to Anyone"
"First Beulah Baptist Church","Hot Meal","2nd/4th Mondays & 2nd/4th Tuesdays: 3:00 - 4:00",41.48768,-81.65004,"5706 Woodland Avenue",44104,"216-426-8543","Open to Anyone"
"Community A.M.E. Church","Hot Meal","Last 2 Wednesdays: 4:00 - 6:00",41.51127,-81.64941,"5805 Lexington Avenue",44103,"216-269-3870","Open to Anyone"
"St. Vincent de Paul - Woodland","Pantry","Fridays: 8:30 - 11:30",41.48811,-81.64856,"6001 Woodland Avenue",44104,"216-391-7231","Open to Anyone"
"St. Vitus Church","Pantry","Second to Last Wednesday of the Month: 11:30 - 1:30",41.52228,-81.64934,"6019 Lausche Avenue",44103,"216-361-1444","Within this area: East 55th Street, East 72nd Street, Lakeside Avenue and Superior Avenue"
"Pilgrim Church of Christ","Hot Meal","3rd Tuesday & 3rd Wednesday: 4:00 - 5:00 (closed in January and July)",41.54039,-81.61595,"616 East 105th Street",44108,"216-761-2279","Open to Anyone"
"Parma Heights Food Pantry","Pantry","Mondays: 9:00 - 12:00; Wednesdays: 1:00 - 4:00 & Thursdays: 5:00 - 7:00",41.39006,-81.76212,"6285 Pearl Road",44130,"440-842-6491","Parma Heights residents and those who worship in Parma Heights"
"Project SEVA - Hopewell","Hot Meal","Last Saturday: 12:00 - 1:00",41.51208,-81.64632,"6403 Linwood Avenue",44103,"216-881-3008","Open to Anyone"
"Lazarus Community Development Corporation","Pantry","3rd Saturday: 11:00 - 1:00",41.5249,-81.64595,"6424 St. Clair Avenue",44103,"216-695-8593",44103
"Fatima Family Center","Pantry","Last Tuesday & Wednesday: 1:00 - 3:00",41.51093,-81.64447,"6600 Lexington Avenue",44103,"216-391-0505","44103,  44104 & 44106"
"St. Albert the Great Parish","Hot Meal","Last Sunday: 4:00 - 5:00",41.32195,-81.73315,"6667 Wallings Road",44133,"440-237-6760",
"Vineyard Church of Parma Heights","Pantry","2nd & 4th Saturdays: 12:00 - 2:00",41.38004,-81.75912,"6735 York Road",44130,"440-884-8463","Open to Anyone"
"Fatima Family Center","Hot Meal","Tuesdays: 5:30 - 6:30",41.51065,-81.6426,"6800 Lexington Avenue",44103,"216-391-0505","Open to Anyone"
"Way of Escape Ministries","Hot Meal","Last Wednesday: 4:30 - 7:00",41.4617,-81.73479,"6818 Denison Avenue",44102,"216-631-9636","Open to Anyone"
"Middleburg Heights Food Pantry","Pantry","Tuesdays: 10:00 - 12:00 & Thursdays: 5:00 - 7:00",41.37988,-81.80763,"6877 Middlebrook Boulevard",44130,"216-362-0044","Middleburg Heights residents or members of Middleburg Heights Churches"
"Parma Christian Church","Pantry","3rd Wednesday: 9:00 - 1:00",41.37493,-81.73483,"7000 Ridge Road",44129,"440-842-1614","Parma, North Royalton & Seven Hills"
"We C.A.R.E. Community Outreach Ministries","Pantry","3rd Tuesday: 10:30 - 1:00",41.50079,-81.64003,"7025 Cedar Avenue",44103,"216-431-4130",
"Garden Valley Neighborhood House","Pantry","Memorial Day - Labor Day: Mondays: 6:00 - 7:30; Tuesdays & Thursdays: 11:30 - 1:00; After Labor Day: Tuesdays, Thursdays & Saturdays: 11:30 -1:00",41.47956,-81.63908,"7100 Kinsman Road",44104,"216-641-5558","44104,  44105 & 44120"
"St. Timothy Missionary Baptist Church","Hot Meal","4th Wednesday: 12:00 - 1:30",41.50204,-81.6391,"7101 Carnegie Avenue",44103,"216-391-0064","Open to Anyone"
"St. Timothy Missionary Baptist Church","Pantry","Last Thursday & Last Friday: 9:30 - 1:30",41.50204,-81.6391,"7101 Carnegie Avenue",44103,"216-391-0064","44102 & 44109"
"Christian Family Outreach","Hot Meal","2nd Monday, 2nd Wednesday & 2nd Friday: 4:30-6:30; and 2nd Tuesday & 2nd Thursday: 3:00-5:00",41.53783,-81.61544,"711 East 105th Street",44108,"216-451-7816",
"Holy Family Food Pantry","Pantry","By Appointment",41.3659,-81.75964,"7367 York Road",44130,"440-842-5533","Parma Heights & Southwest part of Parma"
"Better Living Center","Hot Meal","Tuesdays: 11:00 - 1:00",41.5368,-81.61514,"745 East 105th Street",44108,"216-541-6203","Northeast Ohio"
"Mt. Sinai Baptist Church","Pantry","2nd & 4th Fridays: 11:00 - 12:30 (3rd Friday in November & December)",41.48805,-81.63629,"7510 Woodland Avenue",44104,"216-431-1361","Cuyahoga County"
"The Church C.O.G.I.C.","Pantry","2nd and 4th Saturdays: 10:00 - 12:00",41.47855,-81.63583,"7541 Kinsman Road",44104,"216-341-0385","Open to Anyone"
"Church of God and True Holiness Temple","Pantry","4th Tuesdays & Thursdays: 4:30 - 6:00",41.50314,-81.63482,"7710 Euclid Avenue",44103,"216-391-2167",
"Emmanuel Baptist Church","Hot Meal","Wednesdays: 11:00 - 12:45",41.49366,-81.63281,"7901 Quincy Avenue",44104,"216-432-2212","Open to Anyone"
"St. Philip Neri Family Center","Hot Meal","Wednesdays: 11:30 - 12:30",41.53293,-81.63155,"799 East 82nd Street",44103,"216-391-4415","Open to Anyone"
"St. Philip Neri Family Center","Pantry","Last Friday: 9:00 - 12:00 & Emergencies",41.53293,-81.63155,"799 East 82nd Street",44103,"216-391-4415","44103,  44106 and 44108"
"St. Philip Neri Sunday Meals Program (Divine Word)","Hot Meal","Sundays: 11:30 - 12:30",41.53293,-81.63155,"799 East 82nd Street",44103,"440-256-1412",44103
"Manna House Recovery & Resource Center","Pantry","3rd Saturday: 2:00 - 4:00",41.5003,-81.63203,"8021 Cedar Avenue",44103,"216-432-2598","44103,  44104 & 44106"
"Northeast Church of God","Hot Meal","Wednesdays: 4:00 - 6:00",41.52441,-81.63177,"8108 Pulaski Avenue",44103,"216-391-3410","Open to Anyone"
"EBC Fery Development Senior Program","Hot Meal","Mondays, Tuesdays, Thursdays & Fridays: 12:30-1:30",41.55714,-81.57503,"813 East 152nd Street",44110,"216-761-5229","Open to Anyone"
"EBC Fery Development Senior Program","Pantry","Last Thursday: 1:00 - 3:00",41.55714,-81.57503,"813 East 152nd Street",44110,"216-761-5229","Collinwood"
"Emmanuel Christian Church","Pantry","Last Saturday: 10:00 - 11:30",41.52039,-81.6305,"8201 Superior Avenue",44103,"216-795-0910","44103,  44106 & 44108"
"Open Door Missionary Baptist Church","Pantry","Last Friday: 9:00 - 11:00",41.48849,-81.63009,"8215 Woodland Avenue",44104,"216-721-0177","Fairfax"
"Greater New Calvary Baptist Church","Hot Meal","Last Full Week: Monday - Friday: 4:00 - 6:00",41.55619,-81.57714,"822 East 150th Street",44110,"216-761-0486","Open to Anyone"
"The House That Wisdom Built","Pantry","2nd Tuesday: 7:30 - 11:30",41.55619,-81.57714,"822 East 150th Street",44110,"216-321-0022",44110
"Pope John Paul II Ozanam Center (at Holy Name Church)","Pantry","Saturdays: 9:30 - 1:30",41.44971,-81.62895,"8328 Broadway Avenue",44105,"216-441-6373","44105, 44125, 44127"
"St. James Food Closet","Pantry","3rd Friday: 12:00 - 2:30",41.49999,-81.62879,"8401 Cedar Avenue",44103,"216-231-3562","Fairfax"
"Simpson United Methodist Church","Pantry","Last Wednesday: 9:00 - 12:00",41.4694,-81.74317,"8519 Clark Avenue",44102,"216-281-9776","Open to Anyone"
"Bread of Life / Antioch Development Corporation","Pantry","Mondays, Wednesdays & Fridays: 12:00 - 3:00; 4th Week: 10:00 - 12:00 & 1:00 - 3:00",41.50079,-81.62733,"8520 Carnegie Avenue",44106,"216-229-2200","Within this area: North of Woodland, East of East 71st Street, South of Wade Park Avenue between East 105th Street and East 125th Street, and South of Chester Avenue. They also serve Little Italy."
"St. Innocent Orthodox Church","Hot Meal","1st & 3rd Sundays: 5:00 - 6:00",41.36583,-81.91204,"8526 Usher Road",44138,"440-235-4558","Open to Anyone"
"St. Matthew United Methodist Church","Hot Meal","2nd, 3rd,  4th and 5th Saturdays: 12:00 – 1:00",41.51588,-81.62747,"8601 Wade Park Avenue",44106,"216-231-7622","Open to Anyone"
"Antioch Development Corporation","Hot Meal","Mondays: 4:00; Tuesdays & Thursdays: 11:00",41.50004,-81.62492,"8869 Cedar Avenue",44106,"216-421-1516","Open to Anyone"
"Salvation Army - Superior","Hot Meal","Last 5 Business Days of the Month: 12:00 - 1:00",41.52067,-81.62508,"9000 Superior Avenue",44106,"216-229-6065","Open to Anyone"
"Salvation Army - Superior","Pantry","Mondays - Thursdays: 9:00 - 11:30",41.52067,-81.62508,"9000 Superior Avenue",44106,"216-229-6065","44103, 44104, 44106, 44108, 44114 & 44115"
"Iglesia de Dios Pentecostal","Pantry","2nd & 4th Wednesdays: 5:00 - 7:00",41.50588,-81.49436,"913 College Avenue",44113,"216-241-3418","Tremont"
"The Rock Community Church","Pantry","3rd Saturday: 8:00 - 11:00; Wednesdays: 5:30 -6:30 (except before the 3rd Saturday) & Sundays: 11:15 - 12:30",41.42931,-81.6197,"9403 Garfield Boulevard",44125,"216-429-2636","44105, 44125, 44128,44131 and 44137"
"St. Catherine Church","Pantry","Tuesdays & Thursdays: 9:30 - 11:00",41.46519,-81.61972,"9412 Heath Avenue",44104,"No Site Number Available","Within this area: Harvard Avenue, Martin Luther King, East 71st Street and East 79th Street"
"Calvary Apostolic Assembly","Pantry","3rd Saturday: 9:30 - 11:30",41.48318,-81.61947,"9510 Buckeye Road",44104,"216-231-8889","Open to Anyone"
"South Hills Lend-A-Hand","Pantry","3rd Saturday: 8:00 - 10:00",41.30712,-81.68459,"9543 Broadview Road",44147,"440-526-0514","Broadview Heights, Independence and Seven Hills"
"Freedom Foundation","Pantry","4th Saturday: 11:00 - 1:00",41.47075,-81.61768,"9700 Kinsman Road",44104,"216-341-3221","Open to Anyone"
"Start Right Community Development Corp.","Pantry","4th Saturday: 11:00 - 1:00",41.53493,-81.56125,"977 Caledonia Avenue",44112,"216-458-1808","Open to Anyone"
"Messiah International Ministries","Pantry","2nd & 4th Saturdays: 9:00 - 1:00",41.39628,-81.53694,"98 Center Road",44116,"440-735-3473","Open to Anyone"
"Denison Avenue United Church of Christ","Pantry","4th Tuesday: 10:00 - 11:30",41.4664,-81.75277,"9900 Denison Avenue",44102,"216-631-0904","44102 & 44111"
"East Mount Zion Baptist Church","Pantry","Saturday after the 3rd Sunday (Except Thanksgiving & Christmas): 10:30 - 11:30",41.50346,-81.61839,"9990 Euclid Avenue",44106,"216-231-0408","Open to Anyone"
"From Darkness to Light","Pantry","Last Wednesday by Appointment",;,"Delivery Program",,"800-335-8834","Open to Anyone"
"All Faiths Pantry","Pantry","According to Delivery Schedule Mondays - Saturdays for Seniors and the Homebound (Contact program for more information)",;,"Delivery Program for Seniors/Homebound",,"216-496-4329","Berea, Brook Park, Brooklyn, Cleveland's Old Brooklyn Neighborhood, Middleburg Heights, North Royalton, Parma & Parma Heights"
"Rescuing the Perishing  Inc.","Hot Meal","Tuesdays: 7:00 - 8:00",41.50465,-81.68013,"1700 Payne Avenue",44114,"440-777-3333","Open to Anyone"
"A.C.E. Ministry / Affinity Baptist Church","Hot Meal","Saturdays: 4:00 - 9:00",;,"Shelter / Mobile Route",,"216-283-4365","Shelter / Mobile Route"
"Manna Food From Heaven Ministries","Hot Meal","1st Saturday: 4:00 - 6:00 AM & Thursdays: 12:00- 1:00",;,"Shelter / Mobile Route",,"N / A","Shelter / Mobile Route"
"Salvation Army - Canteen","Hot Meal","Times and Stops along the Route Vary (Contact program for more information)",;,"Shelter / Mobile Route",,"216-619-4707","Shelter / Mobile Route "
"St. Paschal's Helping Hands","Hot Meal","Wednesdays: 4:30 - 9:30 PM & Saturdays: 4:30 - 10:00 PM",;,"Shelter / Mobile Route",,"440-442-3410","Shelter / Mobile Route"
"The Labre Project","Hot Meal","Fridays: 5:00 - 11:00 PM",;,"Shelter / Mobile Route",,"216-397-6227","Shelter / Mobile Route"
"We Care Connection","Hot Meal","2nd & 3rd Sundays: 1:00 - 6:00",;,"Shelter / Mobile Route",,"216-661-7379","Shelter / Mobile Route"
